SRC:   226 2021-10-17 08:17:11.878 UWB CNT: 14, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101372 TMP: 6.8 TS: 112880305735 RSSI: -100 FPPL: -103 CSQ: 100
SRC:   213 2021-10-17 08:17:11.890 UWB CNT: 14, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101372 TMP: 6.8 TS: 112880303442 RSSI: -88 FPPL: -94 CSQ: 100
SRC:   215 2021-10-17 08:17:11.922 UWB CNT: 14, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101372 TMP: 6.8 TS: 112880306951 RSSI: -105 FPPL: -109 CSQ: 100
SRC:   225 2021-10-17 08:17:16.738 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 426983567453 RSSI: -100 FPPL: -103 CSQ: 100
SRC:   205 2021-10-17 08:17:16.763 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 426983568148 RSSI: -96 FPPL: -105 CSQ: 100
SRC:   212 2021-10-17 08:17:16.785 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 426983567879 RSSI: -106 FPPL: -114 CSQ: 100
SRC:   213 2021-10-17 08:17:16.805 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 426983567036 RSSI: -87 FPPL: -93 CSQ: 100
SRC:   215 2021-10-17 08:17:16.837 UWB CNT: 15, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 426983570506 RSSI: -101 FPPL: -107 CSQ: 100
SRC:   208 2021-10-17 08:17:21.865 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 759990281283 RSSI: -104 FPPL: -105 CSQ: 100
SRC:   225 2021-10-17 08:17:21.950 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 759990278107 RSSI: -100 FPPL: -103 CSQ: 100
SRC:   205 2021-10-17 08:17:21.976 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 759990278860 RSSI: -96 FPPL: -105 CSQ: 100
SRC:   212 2021-10-17 08:17:21.998 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 759990278614 RSSI: -104 FPPL: -114 CSQ: 100
SRC:   226 2021-10-17 08:17:22.006 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 759990279993 RSSI: -100 FPPL: -107 CSQ: 100
SRC:   213 2021-10-17 08:17:22.018 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 759990277710 RSSI: -88 FPPL: -93 CSQ: 100
SRC:   215 2021-10-17 08:17:22.048 UWB CNT:  0, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.8 TS: 759990281217 RSSI: -101 FPPL: -107 CSQ: 100
SRC:   205 2021-10-17 08:17:27.038 UWB CNT:  1, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.9 TS: 1083434718764 RSSI: -97 FPPL: -102 CSQ: 100
SRC:   226 2021-10-17 08:17:27.068 UWB CNT:  1, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.9 TS: 1083434719976 RSSI: -102 FPPL: -106 CSQ: 100
SRC:   213 2021-10-17 08:17:27.080 UWB CNT:  1, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.9 TS: 1083434717610 RSSI: -86 FPPL: -93 CSQ: 100
SRC:   215 2021-10-17 08:17:27.111 UWB CNT:  1, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101376 TMP: 6.9 TS: 1083434721242 RSSI: -103 FPPL: -113 CSQ: 100
SRC:   218 2021-10-17 08:17:32.050 UWB CNT:  2, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101374 TMP: 6.9 TS: 305763831968 RSSI: -105 FPPL: -108 CSQ: 0
SRC:   225 2021-10-17 08:17:32.050 UWB CNT:  2, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101374 TMP: 6.9 TS: 305763831285 RSSI: -95 FPPL: -101 CSQ: 100
SRC:   212 2021-10-17 08:17:32.098 UWB CNT:  2, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101374 TMP: 6.9 TS: 305763831534 RSSI: -96 FPPL: -104 CSQ: 100
SRC:   213 2021-10-17 08:17:32.117 UWB CNT:  2, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101374 TMP: 6.9 TS: 305763829407 RSSI: -90 FPPL: -105 CSQ: 100
SRC:   215 2021-10-17 08:17:32.148 UWB CNT:  2, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101374 TMP: 6.9 TS: 305763833892 RSSI: -100 FPPL: -102 CSQ: 100
SRC:   225 2021-10-17 08:17:37.198 UWB CNT:  3, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101375 TMP: 6.9 TS: 634680610561 RSSI: -103 FPPL: -112 CSQ: 100
SRC:   205 2021-10-17 08:17:37.223 UWB CNT:  3, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101375 TMP: 6.9 TS: 634680611454 RSSI: -104 FPPL: -119 CSQ: 100
SRC:   212 2021-10-17 08:17:37.245 UWB CNT:  3, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101375 TMP: 6.9 TS: 634680610382 RSSI: -99 FPPL: -103 CSQ: 100
SRC:   226 2021-10-17 08:17:37.253 UWB CNT:  3, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101375 TMP: 6.9 TS: 634680612262 RSSI: -101 FPPL: -103 CSQ: 100
SRC:   213 2021-10-17 08:17:37.265 UWB CNT:  3, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101375 TMP: 6.9 TS: 634680610061 RSSI: -91 FPPL: -97 CSQ: 100
SRC:   225 2021-10-17 08:17:42.156 UWB CNT:  4, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101378 TMP: 6.9 TS: 951446425999 RSSI: -95 FPPL: -98 CSQ: 100
SRC:   212 2021-10-17 08:17:42.204 UWB CNT:  4, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101378 TMP: 6.9 TS: 951446425808 RSSI: -98 FPPL: -102 CSQ: 100
SRC:   226 2021-10-17 08:17:42.212 UWB CNT:  4, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101378 TMP: 6.9 TS: 951446428702 RSSI: -94 FPPL: -97 CSQ: 100
